source,timestamp,metric_type,metric_name,partner,time_window,bucket_interval,perc50,perc95,perc99,perc99_9,perc99_99,volume,uniq_stbs,stack,count_gt_1000,count_gt_1500,count_gt_2000,count_gt_2500
xre,2017-03-20 06:45:00,ecm,DvrFavoriteChannels,comcast,reboot,15m_bucket,51,229,465,739,739,676,595,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,GalleryRow,comcast,reboot,15m_bucket,39,286,664,1719,2527,16349,3347,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,ShuffleGalleryRow,comcast,reboot,15m_bucket,103,411,638,888,2524,1925,1121,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,GuideIndefiniteProgressIndicator,comcast,reboot,15m_bucket,69,213,354,499,499,251,166,c6fp,0,0,0,0
xre,2017-03-20 06:00:00,ecm,DvrRecentlyWatched,comcast,reboot,15m_bucket,152,398,761,1562,1760,1233,1067,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,DvrRecentlyWatched,comcast,reboot,15m_bucket,161,432,660,826,826,979,863,c6fp,0,0,0,0
xre,2017-03-20 06:00:00,ecm,ActionBar,comcast,reboot,15m_bucket,0,17,43,266,548,41891,16497,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,EntityInfo,comcast,reboot,15m_bucket,168,673,1023,2811,3313,5820,3120,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,ActionBar,comcast,reboot,15m_bucket,0,15,39,247,376,34698,14151,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,ListRowEntityInfo,comcast,reboot,15m_bucket,170,755,1168,2470,2470,971,665,c6fp,0,0,0,0
xre,2017-03-20 06:00:00,ecm,TabBar,comcast,reboot,15m_bucket,0,0,0,0,0,11,10,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,OnDemandGalleryRow,comcast,reboot,15m_bucket,44,403,793,1248,1702,21142,3216,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,DvrRecentlyWatched,comcast,reboot,15m_bucket,165,490,907,1798,1798,877,780,c6fp,0,0,0,0
xre,2017-03-20 06:00:00,ecm,Browse,comcast,reboot,15m_bucket,113,657,1596,2243,2243,800,583,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,Browse,comcast,reboot,15m_bucket,106,527,1327,1884,1884,665,486,c6fp,0,0,0,0
xre,2017-03-20 06:00:00,ecm,DvrFavoriteChannels,comcast,reboot,15m_bucket,47,168,352,487,533,1236,1071,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,X1AppsGalleryRow,comcast,reboot,15m_bucket,9,21,34,102,102,537,99,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,TabBar,comcast,reboot,15m_bucket,0,0,0,0,0,8,8,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,ShuffleGalleryRow,comcast,reboot,15m_bucket,104,406,603,1312,1647,1372,822,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,ChannelGridPanel,comcast,reboot,15m_bucket,5,37,127,325,580,457887,17793,c6fp,0,0,0,0
